"","Year","App.","Taxon","Class","Importer","Exporter","Term","Unit","Purpose","Source","Exportation.type","Exportation.number"
"1",2020,"I","Addax nasomaculatus","Mammalia","PK","AE","live","Not applied","T","C","Imported",4
"2",2020,"I","Capra falconeri","Mammalia","AT","PK","trophies","Not applied","H","W","Exported",1
"3",2020,"I","Capra falconeri","Mammalia","ES","PK","trophies","Not applied","H","W","Exported",1
"4",2020,"I","Capra falconeri","Mammalia","RU","PK","trophies","Not applied","H","W","Exported",3
"5",2020,"I","Capra falconeri","Mammalia","US","PK","trophies","Not applied","H","W","Exported",5
"6",2020,"I","Hippotragus niger","Mammalia","ML","ZA","unspecified","Not applied","Not applied","Not applied","Imported",35
"7",2020,"I","Oryx spp.","Mammalia","ML","ZA","unspecified","Not applied","Not applied","Not applied","Imported",28
"8",2020,"I","Oryx leucoryx","Mammalia","PK","AE","live","Not applied","T","C","Imported",4
"9",2020,"I","Probosciger aterrimus","Aves","CZ","LK","live","Not applied","T","C","Exported",4
"10",2020,"I","Canis lupus","Mammalia","US","PK","specimens","Not applied","S","W","Exported",35
"11",2020,"I","Crocodylus acutus","Reptilia","DE","CO","skins","Not applied","T","D","Exported",100
"12",2020,"I","Crocodylus acutus","Reptilia","KR","CO","skins","Not applied","T","D","Exported",500
"13",2020,"I","Crocodylus niloticus","Reptilia","UA","MD","live","Not applied","Q","U","Exported",1
"14",2020,"I","Elephas maximus","Mammalia","KH","PK","live","Not applied","Z","C","Exported",1
"15",2020,"I","Elephas maximus","Mammalia","KR","LK","specimens","Not applied","S","W","Exported",900
"16",2020,"I","Elephas maximus","Mammalia","US","LK","specimens","Not applied","S","W","Exported",101
"17",2020,"I","Loxodonta africana","Mammalia","RU","CM","trophies","Not applied","H","W","Exported",1
"18",2020,"I","Loxodonta africana","Mammalia","SZ","CM","trophies","Not applied","H","W","Exported",2
"19",2020,"I","Equus spp.","Mammalia","ML","ZA","unspecified","Not applied","Not applied","Not applied","Imported",28
"20",2020,"I","Acinonyx jubatus","Mammalia","MW","ZA","live","Not applied","N","W","Imported",2
"21",2020,"I","Caracal caracal","Mammalia","MD","RU","live","Not applied","Z","C","Imported",2
"22",2020,"I","Leopardus pardalis","Mammalia","CZ","BY","live","Not applied","Z","C","Exported",1
"23",2020,"I","Panthera pardus","Mammalia","MW","ZW","live","Not applied","N","Not applied","Imported",3
"24",2020,"I","Panthera pardus","Mammalia","MW","ZW","live","Not applied","N","W","Imported",4
"25",2020,"I","Panthera pardus","Mammalia","US","LK","specimens","Not applied","S","W","Exported",2
"26",2020,"I","Panthera tigris","Mammalia","BY","UA","live","Not applied","Q","C","Imported",1
"27",2020,"I","Panthera tigris","Mammalia","PK","ZA","live","Not applied","Z","C","Imported",2
"28",2020,"I","Balearica pavonina","Aves","ET","ML","live","Not applied","Not applied","Not applied","Exported",4
"29",2020,"I","Grus vipio","Aves","CD","FR","live","Not applied","Z","C","Imported",2
"30",2020,"I","Pan troglodytes","Mammalia","ES","ML","specimens","Not applied","Not applied","Not applied","Exported",20
"31",2020,"I","Lemur catta","Mammalia","BY","RU","live","Not applied","Z","C","Imported",4
"32",2020,"I","Lemur catta","Mammalia","MD","RU","live","Not applied","Z","C","Imported",7
"33",2020,"I","Pteronura brasiliensis","Mammalia","CO","US","live","Not applied","Z","F","Imported",1
"35",2020,"I","Pteronura brasiliensis","Mammalia","TT","US","live","Not applied","Z","C","Imported",1
