Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,PK,AE,,4,,live,,T,C
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AT,PK,,,1,trophies,,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ES,PK,,,1,trophies,,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,PK,,,3,trophies,,H,W
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,,5,trophies,,H,W
2020,I,Hippotragus niger,Mammalia,Artiodactyla,Bovidae,Hippotragus,ML,ZA,,35,,unspecified,,,
2020,I,Oryx spp.,Mammalia,Artiodactyla,Bovidae,Oryx,ML,ZA,,28,,unspecified,,,
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,PK,AE,,4,,live,,T,C
2020,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,CZ,LK,,,4,live,,T,C
2020,I,Canis lupus,Mammalia,Carnivora,Canidae,Canis,US,PK,,,35,specimens,,S,W
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,CO,,,100,skins,,T,D
2020,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,KR,CO,,,500,skins,,T,D
2020,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,UA,MD,UA,,1,live,,Q,U
2020,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,KH,PK,,,1,live,,Z,C
2020,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,KR,LK,,,900,specimens,,S,W
2020,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,US,LK,,,101,specimens,,S,W
2020,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,RU,CM,,,1,trophies,,H,W
2020,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SZ,CM,,,2,trophies,,H,W
2020,I,Equus spp.,Mammalia,Perissodactyla,Equidae,Equus,ML,ZA,,28,,unspecified,,,
2020,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,MW,ZA,XX,2,,live,,N,W
2020,I,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,MD,RU,,2,,live,,Z,C
2020,I,Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,CZ,BY,,,1,live,,Z,C
2020,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MW,ZW,XX,3,,live,,N,
2020,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,MW,ZW,,4,,live,,N,W
2020,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,US,LK,,,2,specimens,,S,W
2020,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,BY,UA,ES,1,,live,,Q,C
2020,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,PK,ZA,,2,,live,,Z,C
2020,I,Balearica pavonina,Aves,Gruiformes,Gruidae,Balearica,ET,ML,,,4,live,,,
